developer,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01
dev_3runoDesign,0,0,0,0,0,0,0,0,0,0,0,2
dev_moroshko,0,0,0,0,0,1,0,0,0,0,0,0
dev_qinchenno1,0,0,0,0,0,0,0,0,3,0,0,0
dev_Plasmadog,0,0,0,0,0,0,0,0,1,0,0,0
dev_fr3nzy,0,0,0,0,0,0,0,0,0,0,0,1
dev_sebwongatnorthone,0,0,0,0,0,0,0,0,0,0,0,1
dev_Evavic44,0,0,0,0,0,0,0,0,0,1,0,0
dev_aravikanti,0,1,0,0,0,0,0,0,0,0,0,0
dev_notmedia,0,0,0,0,3,0,0,0,0,0,0,0
dev_dougwilson,0,0,0,0,0,0,0,0,2,0,31,0
dev_bbarry,0,1,0,0,0,0,0,0,0,0,0,0
dev_runk,0,0,0,7,12,9,0,0,0,2,0,0
dev_crazko,0,0,1,0,0,0,0,0,0,0,0,0
dev_AbolfazlHeidarpour,0,0,0,0,0,0,0,0,0,0,0,2
dev_CWSites,0,0,0,2,0,0,0,0,0,0,0,0
dev_kmagiera,5,2,0,0,3,0,0,0,0,0,28,31
dev_JuanSeBestia,0,0,0,0,0,1,0,0,0,0,0,0
dev_scott-schibli,0,0,0,0,1,0,0,0,0,0,0,0
dev_odidev,0,1,2,0,0,0,0,0,0,0,0,0
dev_AnubisAwooo,0,0,0,0,0,0,0,0,0,0,0,1
dev_kendallroth,0,0,0,0,0,0,0,0,0,0,2,0
dev_waqashsn,0,0,0,0,1,0,0,0,0,0,0,0
dev_Reomar,0,0,0,0,0,1,0,0,0,0,0,0
dev_howel52,1,0,0,0,0,0,0,0,0,0,0,0
dev_Bayramito,0,0,0,0,0,0,0,0,1,0,0,0
dev_janesser,0,0,0,0,0,0,0,1,0,0,0,0
dev_chenasraf,0,2,1,0,0,0,0,0,0,0,0,0
dev_kroko,0,0,3,0,0,0,0,0,0,0,0,0
dev_ievgennaida,0,0,0,0,0,2,0,0,0,0,0,0
dev_yemd,0,0,0,0,0,0,0,0,0,0,2,0
dev_spyro2000,0,0,0,0,1,0,0,0,0,0,0,0
dev_jenskuhrjorgensen,6,0,0,0,0,0,0,0,0,0,0,0
dev_marcinmajkowski,0,0,0,0,1,0,0,0,0,0,0,0
dev_sayantan300,0,0,0,0,0,0,1,0,0,0,0,0
dev_AjiTae,0,0,0,0,0,0,0,0,0,1,0,0
dev_bkhurjawal,0,0,0,0,0,0,0,0,1,0,0,0
dev_zhaoyao91,1,0,0,0,0,0,0,0,0,0,0,0
dev_amanda-t,0,0,0,0,0,0,1,0,0,0,0,0
dev_ardenpm,0,0,0,0,0,0,0,0,0,0,1,0
dev_adriankwiat,0,1,0,0,0,0,0,0,0,0,0,0
dev_yleflour,0,0,0,1,0,0,0,0,0,0,0,0
dev_IN25,0,0,0,0,2,0,0,0,0,0,0,0
dev_Th3S4mur41,0,0,0,0,0,1,1,1,0,0,0,0
dev_PodaruDragos,0,0,0,0,0,0,0,0,0,0,1,0
dev_jenschr,0,0,0,0,0,1,0,0,0,0,0,0
dev_mcaden,0,0,0,0,0,1,0,0,0,0,0,0
dev_Tofugrass,0,0,0,0,0,0,0,0,1,0,0,0
dev_exneval,0,1,0,0,0,0,0,0,0,0,0,0
dev_skyh,0,0,0,0,0,0,0,3,0,0,0,0
dev_youngbob,0,2,0,0,0,0,0,0,0,0,0,0
dev_hardik-wts,0,0,0,0,0,0,1,0,0,0,0,0
dev_XhmikosR,0,3,0,0,0,0,0,0,0,0,0,4
dev_wraithgar,0,1,0,0,0,0,0,0,2,4,0,0
dev_HipsterZipster,0,0,0,2,1,0,0,0,0,0,0,0
dev_jack828,0,0,0,1,0,0,0,0,0,0,0,0
dev_tecfu,0,0,0,0,27,0,0,0,0,0,0,0
dev_best-lucky1030,0,0,0,0,0,0,0,0,0,0,1,0
dev_skylarmb,0,0,0,0,1,0,0,0,1,0,0,0
dev_micaelmbagira,0,1,0,0,0,0,0,0,0,0,0,0
dev_nickmccurdy,0,0,0,0,0,0,3,0,0,0,0,0
dev_cesarsousa3,0,0,0,0,0,0,0,0,0,0,0,1
dev_anabeatrizzz,0,0,0,0,0,0,0,2,0,0,0,0
dev_mikerockett,0,0,0,1,0,0,0,0,0,0,0,0
dev_cap-Bernardito,0,0,0,0,3,0,0,0,0,0,0,0
dev_aleksandervalle,0,0,0,0,0,0,0,1,0,0,0,0
dev_maxmil7,0,0,0,0,0,0,0,1,0,0,0,0
dev_leo0grau,0,0,0,0,0,0,2,0,0,0,0,0
dev_cristianoccazinsp,0,1,0,0,0,0,0,0,0,0,0,4
dev_zWingz,0,0,0,1,0,1,0,0,0,0,0,0
dev_rohitninawe,0,0,0,0,0,1,0,0,0,0,0,0
dev_alamothe,0,0,0,0,0,0,0,0,0,0,1,0
dev_chamin96,0,0,0,0,0,0,0,0,1,0,0,0
dev_osdiab,0,0,0,0,0,1,1,0,0,0,0,0
dev_GilgameshxZero,1,0,0,0,0,0,0,0,0,0,0,0
dev_analytik,0,0,0,3,2,0,0,0,0,0,0,0
